STATUS | wrapper  | 2018/08/31 13:07:56 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 14:28:08 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 14:28:08 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 14:28:08 | 
STATUS | wrapper  | 2018/08/31 14:28:08 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 14:28:09 | Connection success!
INFO   | jvm 1    | 2018/08/31 14:28:13 | receiving!{"confirmedd":false}
INFO   | jvm 1    | 2018/08/31 14:28:13 | Starting MyApp shutdown...
INFO   | jvm 1    | 2018/08/31 14:28:13 | MyApp shutdown complete.
ERROR  | wrapper  | 2018/08/31 14:28:13 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 14:28:18 | Launching a JVM...
INFO   | jvm 2    | 2018/08/31 14:28:18 | Connection success!
ERROR  | wrapper  | 2018/08/31 14:28:47 | Startup failed: Timed out waiting for a signal from the JVM.
ADVICE | wrapper  | 2018/08/31 14:28:47 | 
ADVICE | wrapper  | 2018/08/31 14:28:47 | ------------------------------------------------------------------------
ADVICE | wrapper  | 2018/08/31 14:28:47 | Advice:
ADVICE | wrapper  | 2018/08/31 14:28:47 | The Wrapper consists of a native component as well as a set of classes
ADVICE | wrapper  | 2018/08/31 14:28:47 | which run within the JVM that it launches.  The Java component of the
ADVICE | wrapper  | 2018/08/31 14:28:47 | Wrapper must be initialized promptly after the JVM is launched or the
ADVICE | wrapper  | 2018/08/31 14:28:47 | Wrapper will timeout, as just happened.  Most likely the main class
ADVICE | wrapper  | 2018/08/31 14:28:47 | specified in the Wrapper configuration file is not correctly initializing
ADVICE | wrapper  | 2018/08/31 14:28:47 | the Wrapper classes:
ADVICE | wrapper  | 2018/08/31 14:28:47 |     Main
ADVICE | wrapper  | 2018/08/31 14:28:47 | While it is possible to do so manually, the Wrapper ships with helper
ADVICE | wrapper  | 2018/08/31 14:28:47 | classes to make this initialization processes automatic.
ADVICE | wrapper  | 2018/08/31 14:28:47 | Please review the integration section of the Wrapper's documentation
ADVICE | wrapper  | 2018/08/31 14:28:47 | for the various methods which can be employed to launch an application
ADVICE | wrapper  | 2018/08/31 14:28:47 | within the Wrapper:
ADVICE | wrapper  | 2018/08/31 14:28:47 |     http://wrapper.tanukisoftware.com/doc/english/integrate.html
ADVICE | wrapper  | 2018/08/31 14:28:47 | ------------------------------------------------------------------------
ADVICE | wrapper  | 2018/08/31 14:28:47 | 
ERROR  | wrapper  | 2018/08/31 14:28:48 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2018/08/31 14:28:48 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2018/08/31 14:28:52 | Launching a JVM...
INFO   | jvm 3    | 2018/08/31 14:28:53 | Connection success!
STATUS | wrapper  | 2018/08/31 14:29:18 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 14:29:18 | Java Service Wrapper Community Edition 32-bit 3.5.35
STATUS | wrapper  | 2018/08/31 14:29:18 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 14:29:18 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 14:29:18 | 
STATUS | wrapper  | 2018/08/31 14:29:18 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 14:29:19 | Connection success!
INFO   | jvm 1    | 2018/08/31 14:29:19 | Starting MyApp shutdown...
INFO   | jvm 1    | 2018/08/31 14:29:19 | MyApp shutdown complete.
ERROR  | wrapper  | 2018/08/31 14:29:19 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 14:29:23 | Launching a JVM...
INFO   | jvm 2    | 2018/08/31 14:29:24 | Connection success!
INFO   | jvm 2    | 2018/08/31 14:29:24 | Starting MyApp shutdown...
INFO   | jvm 2    | 2018/08/31 14:29:24 | MyApp shutdown complete.
ERROR  | wrapper  | 2018/08/31 14:29:24 | JVM exited while loading the application.
STATUS | wrapper  | 2018/08/31 14:31:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/08/31 14:31:58 | Java Service Wrapper Community Edition 32-bit 3.5.35
STATUS | wrapper  | 2018/08/31 14:31:58 |   Copyright (C) 1999-2018 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/31 14:31:58 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/31 14:31:58 | 
STATUS | wrapper  | 2018/08/31 14:31:59 | Launching a JVM...
INFO   | jvm 1    | 2018/08/31 14:31:59 | Connection success!
INFO   | jvm 1    | 2018/08/31 14:32:04 | receiving!{"confirmedd":false}
STATUS | wrapper  | 2018/08/31 14:32:07 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2018/08/31 14:32:18 | receiving!{"confirmedd":false}
ERROR  | wrapper  | 2018/08/31 14:32:42 | Shutdown failed: Timed out waiting for signal from JVM.
INFO   | jvm 1    | 2018/08/31 14:33:18 | receiving!{"confirmedd":false}
INFO   | wrapper  | 2018/08/31 14:33:18 | Wrapper Process has not received any CPU time for 36 seconds.  Extending timeouts.
ERROR  | wrapper  | 2018/08/31 14:33:53 | JVM did not exit on request, termination requested.
STATUS | wrapper  | 2018/08/31 14:33:53 | JVM exited after being requested to terminate.
STATUS | wrapper  | 2018/08/31 14:33:54 | <-- Wrapper Stopped
